filename	analysis_alias	analysis_accession
a6bd110e-f9ee-4fbb-9cd9-23346d7884b1/analysis.a6bd110e-f9ee-4fbb-9cd9-23346d7884b1.GNOS.xml.gz.gpg	a6bd110e-f9ee-4fbb-9cd9-23346d7884b1	EGAZ00001225836
9088c6fd-6190-4017-a8ee-c19ccc193598/analysis.9088c6fd-6190-4017-a8ee-c19ccc193598.GNOS.xml.gz.gpg	9088c6fd-6190-4017-a8ee-c19ccc193598	EGAZ00001223845
8f89bf29-8255-4dce-8c5a-a9f01ef83eaa/analysis.8f89bf29-8255-4dce-8c5a-a9f01ef83eaa.GNOS.xml.gz.gpg	8f89bf29-8255-4dce-8c5a-a9f01ef83eaa	EGAZ00001223843
10d91228-ed2d-46a6-97ec-c8331b292631/analysis.10d91228-ed2d-46a6-97ec-c8331b292631.GNOS.xml.gz.gpg	10d91228-ed2d-46a6-97ec-c8331b292631	EGAZ00001225790
107c26a6-f949-4726-aa19-6f846442aaf6/analysis.107c26a6-f949-4726-aa19-6f846442aaf6.GNOS.xml.gz.gpg	107c26a6-f949-4726-aa19-6f846442aaf6	EGAZ00001225664
6c2d52b9-4158-4f49-97eb-99a2ef9bc054/analysis.6c2d52b9-4158-4f49-97eb-99a2ef9bc054.GNOS.xml.gz.gpg	6c2d52b9-4158-4f49-97eb-99a2ef9bc054	EGAZ00001223824
b8c21eb3-f643-4b55-96ec-9dc1c8725cfb/analysis.b8c21eb3-f643-4b55-96ec-9dc1c8725cfb.GNOS.xml.gz.gpg	b8c21eb3-f643-4b55-96ec-9dc1c8725cfb	EGAZ00001225734
0a2d0adb-545b-4e9d-b43d-372b7b8c9c25/analysis.0a2d0adb-545b-4e9d-b43d-372b7b8c9c25.GNOS.xml.gz.gpg	0a2d0adb-545b-4e9d-b43d-372b7b8c9c25	EGAZ00001225746
1e72bdb1-b6f3-45ef-be26-371eba35923a/analysis.1e72bdb1-b6f3-45ef-be26-371eba35923a.GNOS.xml.gz.gpg	1e72bdb1-b6f3-45ef-be26-371eba35923a	EGAZ00001225782
05fc09d5-b21a-4906-bc09-f50a3d29e74b/analysis.05fc09d5-b21a-4906-bc09-f50a3d29e74b.GNOS.xml.gz.gpg	05fc09d5-b21a-4906-bc09-f50a3d29e74b	EGAZ00001225706
